idGame,idTeam,idPlayer,MinutesPlayed,FieldGoals,FGAttempts,FGPerc,3PTSFG,3PFGAttempts,3PFGPerc,FreeThrows,FreeThrowsAttempts,FTPerc,OffRbds,DefRbds,TotalRbds,"Assists","Steals","Blocks","Turnovers",Fouls,Points,Punctuation
"1","Miami Heat","Jimmy Butler","45:40",4,"22",".182","2","9",".222","7","10",".700","4","6","10","8","2","1","6","2","17","-8"
"1","Miami Heat","Bam Adebayo","40:36","4","15",".267","0","0","","1","1","1.000","4","8","12","5","3","0","1","5","9","+5"
"1","Miami Heat","Trevor Ariza","38:19","3","8",".375","2","6",".333","0","0","","1","11","12","1","1","1","1","4","8","-7"
"1","Miami Heat","Duncan Robinson","36:05","7","13",".538","7","13",".538","3","3","1.000","0","2","2","2","0","0","2","3","24","+2"
"1","Miami Heat","Kendrick Nunn","22:41","4","10",".400","2","6",".333","0","0","","0","4","4","1","0","0","2","1","10","+3"
"1","Miami Heat","Goran Dragić","34:39","10","17",".588","5","10",".500","0","0","","1","1","2","1","1","0","4","3","25","0"
"1","Miami Heat","Tyler Herro","19:10","2","10",".200","2","5",".400","4","4","1.000","0","2","2","3","0","1","1","0","10","+1"
"1","Miami Heat","Andre Iguodala","15:26","1","2",".500","0","1",".000","0","0","","1","4","5","1","1","0","0","3","2","+1"
"1","Miami Heat","Dewayne Dedmon","12:24","1","2",".500","0","0","","0","1",".000","1","1","2","0","0","0","0","2","2","-7"
"1","Miami Heat","Gabe Vincent",Did Not Play,,,,,,,,,,,,,,,,,,,
"1","Miami Heat","Nemanja Bjelica","Did Not Play",,,,,,,,,,,,,,,,,,,
"1","Miami Heat","KZ Okpala","Did Not Play",,,,,,,,,,,,,,,,,,,
"1","Miami Heat","Precious Achiuwa","Did Not Play",,,,,,,,,,,,,,,,,,,
"1","Miami Heat","Max Strus","Did Not Play",,,,,,,,,,,,,,,,,,,
"1","Miami Heat","Udonis Haslem","Did Not Play",,,,,,,,,,,,,,,,,,,
"1","Milwaukee Bucks","Giannis Antetokounmpo","45:27","10","27",".370","0","3",".000","6","13",".462","6","12","18","5","3","0","5","4","26","+2"
"1","Milwaukee Bucks","Khris Middleton","44:38","10","22",".455","3","9",".333","4","6",".667","1","5","6","6","2","0","2","3","27","0"
"1","Milwaukee Bucks","Jrue Holiday","42:18","9","18",".500","0","5",.000,"2","4",".500","2","9","11","3","3","0","5","0","20","+10"
"1","Milwaukee Bucks","Donte DiVincenzo","37:28","1","5",".200","1","4",".250","0","0","","0","10","10","4","1","1","3","1","3","-6"
"1","Milwaukee Bucks","Brook Lopez","36:07","5","10",".500","1","4",".250","7","8",".875","3","5","8","0","1","0","1","5","18","+6"
"1","Milwaukee Bucks","P.J. Tucker","17:56","0","1",".000","0","1",".000","0","0","","1","1","2","0","0","0","0","3","0","+8"
"1","Milwaukee Bucks","Bobby Portis","16:53","4","6",".667","0","1",".000","0","1",".000","0","4","4","0","1","0","0","1","8","-4"
